Hiperparâmetros,Sens. Méd.,Sens. DP,Esp. Méd.,Esp. DP,IBA Méd.,IBA DP
"k = 7, Dist. = Euc.",43.64,10.10,64.76,4.35,28.11,6.17
"k = 9, Dist. = Euc.",44.27,10.34,63.70,4.67,28.11,6.48
"k = 5, Dist. = Euc.",41.18,9.56,66.49,3.48,27.26,5.92
"k = 10, Dist. = Euc.",38.18,9.23,69.80,4.70,26.61,6.55
"k = 8, Dist. = Euc.",37.00,9.93,71.90,4.00,26.58,7.23
"k = 3, Dist. = Euc.",38.82,8.77,67.99,3.34,26.28,5.65
"k = 7, Dist. = Man.",38.45,10.11,67.73,4.26,25.98,6.83
"k = 5, Dist. = Man.",37.82,9.25,69.00,3.35,25.97,5.96
"k = 6, Dist. = Euc.",34.36,9.37,74.47,3.20,25.48,6.61
"k = 9, Dist. = Man.",37.64,10.14,66.97,4.42,25.15,6.71
"k = 3, Dist. = Man.",35.09,8.71,70.25,3.21,24.53,5.80
"k = 8, Dist. = Man.",31.09,10.12,74.66,3.80,23.19,7.62
"k = 10, Dist. = Man.",31.64,9.80,72.72,4.60,22.95,7.04
"k = 6, Dist. = Man.",29.91,9.50,76.77,3.18,22.88,7.09
"k = 4, Dist. = Euc.",29.64,9.38,77.28,2.99,22.83,7.08
"k = 4, Dist. = Man.",26.27,8.63,79.18,2.82,20.73,6.63
