Hiperparâmetros,Sens. Méd.,Sens. DP,Esp. Méd.,Esp. DP,IBA Méd.,IBA DP
"k = 9, Dist. = Man.",52.55,13.99,56.51,9.62,28.92,6.44
"k = 9, Dist. = Euc.",52.36,13.69,56.45,9.54,28.83,6.41
"k = 5, Dist. = Euc.",51.91,13.22,55.29,6.83,28.27,6.16
"k = 7, Dist. = Euc.",52.00,13.66,55.11,7.81,28.17,6.50
"k = 5, Dist. = Man.",51.27,13.21,55.51,6.93,28.00,6.12
"k = 7, Dist. = Man.",51.55,13.42,55.25,7.87,27.98,6.31
"k = 3, Dist. = Euc.",51.45,10.84,53.98,4.07,27.60,5.19
"k = 3, Dist. = Man.",50.36,10.98,54.15,4.10,27.12,5.39
"k = 10, Dist. = Euc.",39.27,13.55,69.51,9.11,26.62,7.82
"k = 10, Dist. = Man.",39.09,13.43,69.61,9.11,26.54,7.79
"k = 8, Dist. = Euc.",37.82,13.32,70.22,7.42,26.19,8.70
"k = 6, Dist. = Euc.",37.55,12.52,70.12,6.86,25.97,7.99
"k = 8, Dist. = Man.",37.27,13.08,70.34,7.40,25.89,8.63
"k = 6, Dist. = Man.",36.55,12.79,70.29,6.88,25.31,8.16
"k = 4, Dist. = Euc.",32.82,11.63,73.93,5.35,24.03,8.03
"k = 4, Dist. = Man.",31.27,10.62,74.29,5.33,23.08,7.53
