Hiperparâmetros,Sens. Méd.,Sens. DP,Esp. Méd.,Esp. DP,IBA Méd.,IBA DP
"Func. Ativ. = Sig., Nº Neur. = 20",50.09,44.88,49.30,46.47,4.64,8.23
"Func. Ativ. = Sig., Nº Neur. = 15",45.55,46.65,54.14,47.22,3.18,5.17
"Func. Ativ. = Tan. Hip., Nº Neur. = 15",47.55,13.81,50.11,19.48,22.43,8.57
"Func. Ativ. = Relu, Nº Neur. = 15",46.27,16.26,52.38,23.15,21.74,9.42
"Func. Ativ. = Relu, Nº Neur. = 10",46.91,19.71,52.84,24.27,21.21,9.72
"Func. Ativ. = Tan. Hip., Nº Neur. = 10",47.09,14.19,48.73,20.60,21.13,7.77
"Func. Ativ. = Tan. Hip., Nº Neur. = 5",48.36,17.32,49.10,22.65,20.87,7.74
"Func. Ativ. = Tan. Hip., Nº Neur. = 20",48.18,15.72,46.43,18.25,20.54,6.73
"Func. Ativ. = Tan. Hip., Nº Neur. = 30",49.18,14.57,44.42,20.23,19.92,7.29
"Func. Ativ. = Relu, Nº Neur. = 20",44.73,18.12,49.26,22.49,18.82,6.27
"Func. Ativ. = Relu, Nº Neur. = 30",48.00,18.69,45.38,22.01,18.81,7.15
"Func. Ativ. = Relu, Nº Neur. = 5",45.55,27.25,50.08,30.37,15.61,9.59
"Func. Ativ. = Sig., Nº Neur. = 30",35.27,35.56,65.54,37.83,10.66,11.48
"Func. Ativ. = Sig., Nº Neur. = 10",45.36,48.45,53.89,48.84,1.35,3.27
"Func. Ativ. = Sig., Nº Neur. = 5",49.09,49.01,49.97,48.84,1.15,3.12
