Hiperparâmetros,Sens. Méd.,Sens. DP,Esp. Méd.,Esp. DP,IBA Méd.,IBA DP
"Func. Ativ. = Tan. Hip., Nº Neur. = 30",52.09,16.66,48.30,20.89,22.67,7.34
"Func. Ativ. = Tan. Hip., Nº Neur. = 20",51.18,18.27,49.22,22.19,22.37,9.65
"Func. Ativ. = Tan. Hip., Nº Neur. = 10",46.00,19.62,56.09,24.07,21.90,8.37
"Func. Ativ. = Tan. Hip., Nº Neur. = 15",46.27,19.73,53.82,22.44,21.59,8.23
"Func. Ativ. = Relu, Nº Neur. = 30",51.82,26.54,50.53,28.90,19.49,10.43
"Func. Ativ. = Relu, Nº Neur. = 10",51.55,27.00,51.22,31.22,19.03,12.30
"Func. Ativ. = Tan. Hip., Nº Neur. = 5",49.82,28.29,51.44,30.93,17.95,11.24
"Func. Ativ. = Relu, Nº Neur. = 15",49.27,26.98,51.22,30.85,17.87,10.51
"Func. Ativ. = Relu, Nº Neur. = 20",51.18,27.02,46.95,30.24,16.75,9.72
"Func. Ativ. = Relu, Nº Neur. = 5",49.09,32.88,48.02,35.74,12.55,8.99
"Func. Ativ. = Sig., Nº Neur. = 10",52.09,49.17,47.83,49.70,1.04,5.30
"Func. Ativ. = Sig., Nº Neur. = 20",57.09,48.97,42.79,49.05,0.90,4.09
"Func. Ativ. = Sig., Nº Neur. = 5",50.82,50.01,49.59,50.10,0.68,4.46
"Func. Ativ. = Sig., Nº Neur. = 30",46.09,49.00,52.93,49.53,0.66,2.94
"Func. Ativ. = Sig., Nº Neur. = 15",50.00,50.51,50.06,50.41,0.08,0.47
