Hiperparâmetros,Sens. Méd.,Sens. DP,Esp. Méd.,Esp. DP,IBA Méd.,IBA DP
"Func. Ativ. = Sig., Nº Neur. = 30",50.64,42.59,49.79,44.11,7.21,10.38
"Func. Ativ. = Tan. Hip., Nº Neur. = 10",48.00,14.58,52.41,19.30,23.13,6.57
"Func. Ativ. = Relu, Nº Neur. = 10",53.45,21.37,49.88,24.76,22.17,9.14
"Func. Ativ. = Relu, Nº Neur. = 20",58.00,18.10,42.79,22.64,21.50,7.76
"Func. Ativ. = Tan. Hip., Nº Neur. = 20",51.18,13.08,44.68,17.69,21.41,7.54
"Func. Ativ. = Tan. Hip., Nº Neur. = 5",48.91,19.66,50.12,23.67,20.88,8.68
"Func. Ativ. = Tan. Hip., Nº Neur. = 30",54.36,16.17,41.75,17.23,20.67,6.46
"Func. Ativ. = Tan. Hip., Nº Neur. = 15",49.00,16.77,46.51,20.94,20.20,6.95
"Func. Ativ. = Sig., Nº Neur. = 20",46.09,47.87,54.14,48.43,2.36,6.55
"Func. Ativ. = Relu, Nº Neur. = 15",53.73,18.06,42.02,23.24,19.33,8.69
"Func. Ativ. = Relu, Nº Neur. = 30",55.82,16.25,38.89,23.19,18.78,8.36
"Func. Ativ. = Relu, Nº Neur. = 5",59.00,28.07,38.91,29.92,15.62,10.80
"Func. Ativ. = Sig., Nº Neur. = 10",41.55,47.51,58.23,48.06,1.93,6.13
"Func. Ativ. = Sig., Nº Neur. = 5",53.36,49.13,46.49,49.21,1.18,4.66
"Func. Ativ. = Sig., Nº Neur. = 15",53.27,49.42,46.28,49.53,0.73,2.91
