Hiperparâmetros,Sens. Méd.,Sens. DP,Esp. Méd.,Esp. DP,IBA Méd.,IBA DP
"kernel = Polin., nu = 0.3",13.24,0.70,70.74,1.99,9.36,0.40
"kernel = Sigm., nu = 0.3",13.22,0.67,70.76,1.92,9.35,0.40
"kernel = Lin., nu = 0.3",13.15,0.71,70.76,1.93,9.29,0.39
"kernel = Polin., nu = 0.2",8.00,2.34,79.47,3.90,6.28,1.36
"kernel = Sigm., nu = 0.2",7.37,0.34,80.12,2.00,5.90,0.25
"kernel = Lin., nu = 0.2",7.32,0.00,80.48,1.84,5.89,0.13
"kernel = Sigm., nu = 0.1",6.22,2.22,81.63,4.99,4.98,1.66
"kernel = Polin., nu = 0.1",5.46,3.12,83.12,6.30,4.36,2.24
"kernel = RBF, nu = 0.5",70.71,0.46,49.89,2.41,35.27,1.59
"kernel = RBF, nu = 0.4",54.56,1.41,59.73,2.26,32.57,0.91
"kernel = RBF, nu = 0.01",3.63,0.17,98.73,0.46,3.59,0.17
"kernel = RBF, nu = 0.3",40.20,1.89,69.99,2.20,28.11,1.09
"kernel = RBF, nu = 0.2",28.32,1.80,79.94,2.02,22.63,1.43
"kernel = Lin., nu = 0.4",24.37,0.17,60.37,1.99,14.71,0.44
"kernel = Sigm., nu = 0.4",24.20,0.45,60.21,2.07,14.57,0.50
"kernel = Polin., nu = 0.4",23.83,0.86,59.16,2.51,14.09,0.62
"kernel = Sigm., nu = 0.5",27.29,0.60,50.35,1.82,13.74,0.47
"kernel = Lin., nu = 0.5",27.12,0.53,50.36,1.79,13.66,0.45
"kernel = Polin., nu = 0.5",26.88,0.24,50.31,2.18,13.52,0.60
"kernel = RBF, nu = 0.1",12.51,1.35,89.64,1.51,11.21,1.12
"kernel = Lin., nu = 0.1",2.12,1.39,89.93,2.22,1.88,1.17
"kernel = Sigm., nu = 0.01",0.00,0.00,97.15,1.58,0.00,0.00
"kernel = Polin., nu = 0.01",0.00,0.00,97.17,1.78,0.00,0.00
"kernel = Lin., nu = 0.01",0.00,0.00,97.46,1.49,0.00,0.00
