tn,fp,fn,tp,sensitivity,specificity,precision,f1score,f2score,gmean_mba,gmean
1432,611,11,11,0.5,0.7009300048947626,0.017684887459807074,0.03416149068322981,0.07746478873239437,0.3504650024473814,0.5920008466610343
1047,996,9,13,0.5909090909090909,0.5124816446402349,0.01288404360753221,0.025218234723569346,0.05925250683682771,0.30283006274195706,0.5502999752334694
1300,743,13,9,0.4090909090909091,0.6363191385217817,0.011968085106382979,0.023255813953488372,0.053571428571428575,0.2603123748498198,0.5102081681527842
1115,928,12,10,0.45454545454545453,0.5457660303475281,0.010660980810234541,0.020833333333333332,0.04873294346978557,0.2480754683397855,0.49807175019246525
1578,465,13,9,0.4090909090909091,0.7723935389133627,0.0189873417721519,0.036290322580645164,0.08007117437722419,0.31597917501001205,0.5621202495996849
1134,909,11,11,0.5,0.5550660792951542,0.011956521739130435,0.023354564755838643,0.05456349206349207,0.2775330396475771,0.5268140465549273
1016,1027,12,10,0.45454545454545453,0.49730788056779246,0.009643201542912247,0.018885741265344667,0.044444444444444446,0.22604903662172388,0.47544614481739556
1131,912,18,4,0.18181818181818182,0.55359765051395,0.004366812227074236,0.008528784648187631,0.0199203187250996,0.10065411827526366,0.31726033202287307
1273,770,11,11,0.5,0.6231032794909447,0.014084507042253521,0.027397260273972605,0.06329113924050633,0.3115516397454724,0.5581681106489983
1149,894,12,10,0.45454545454545453,0.5624082232011748,0.011061946902654867,0.02159827213822894,0.05040322580645162,0.2556401014550795,0.5056086445612649
1481,562,11,11,0.5,0.7249143416544298,0.019197207678883072,0.03697478991596639,0.0832072617246596,0.3624571708272149,0.6020441601969202
1417,626,17,5,0.22727272727272727,0.693587860988742,0.00792393026941363,0.015313935681470138,0.03477051460361613,0.15763360477016863,0.3970309871662017
999,1044,11,11,0.5,0.4889867841409692,0.01042654028436019,0.02042711234911792,0.048118985126859144,0.24449339207048462,0.4944627307193987
1456,587,15,7,0.3181818181818182,0.7126774351443955,0.011784511784511785,0.022727272727272724,0.051319648093841645,0.22676100209139854,0.47619429027593196
997,1046,11,11,0.5,0.4880078316201664,0.010406811731315043,0.020389249304911955,0.048034934497816595,0.2440039158100832,0.49396752505613484
1027,1016,7,15,0.6818181818181818,0.5026921194322075,0.014548981571290009,0.028490028490028487,0.06702412868632708,0.34274462688559604,0.5854439570835077
799,1244,8,14,0.6363636363636364,0.3910915320606951,0.011128775834658187,0.021875,0.05200594353640415,0.24887642949316957,0.49887516423767736
1293,750,8,14,0.6363636363636364,0.6328928046989721,0.01832460732984293,0.03562340966921119,0.08215962441314553,0.4027499666266186,0.6346258477454402
1202,841,11,11,0.5,0.5883504650024474,0.012910798122065728,0.02517162471395881,0.05851063829787235,0.29417523250122374,0.542379233102839
1022,1021,12,10,0.45454545454545453,0.5002447381302007,0.009699321047526674,0.01899335232668566,0.044682752457551385,0.22738397187736395,0.47684795467461527
1060,983,7,15,0.6818181818181818,0.5188448360254527,0.01503006012024048,0.029411764705882353,0.06906077348066299,0.3537578427446268,0.5947754557348738
1255,788,11,11,0.5,0.6142927068037201,0.01376720901126408,0.026796589524969553,0.062006764374295385,0.3071463534018601,0.5542078611873528
1245,798,12,10,0.45454545454545453,0.6093979441997063,0.012376237623762377,0.024096385542168676,0.05580357142857143,0.27699906554532105,0.5263070069316207
1285,758,16,6,0.2727272727272727,0.6289769946157612,0.007853403141361256,0.015267175572519083,0.035211267605633804,0.17153918034975307,0.4141728870287782
980,1063,11,11,0.5,0.47968673519334315,0.010242085661080074,0.020072992700729927,0.047332185886402756,0.2398433675966716,0.4897380601879658
1048,995,8,14,0.6363636363636364,0.5129711209006363,0.013875123885034688,0.02715809893307469,0.06381039197812215,0.32643616784585944,0.5713459266030164
1135,908,7,15,0.6818181818181818,0.5555555555555556,0.016251354279523293,0.031746031746031744,0.07418397626112759,0.37878787878787884,0.6154574548966637
1137,906,11,11,0.5,0.5565345080763583,0.011995637949836423,0.023429179978700747,0.054726368159203974,0.2782672540381792,0.5275104302648235
1135,908,15,7,0.3181818181818182,0.5555555555555556,0.007650273224043716,0.014941302027748132,0.034895314057826525,0.17676767676767677,0.42043748259126085
1257,786,9,13,0.5909090909090909,0.6152716593245228,0.016270337922403004,0.03166869671132765,0.07328072153325818,0.36356961687358164,0.6029673431236402
1291,752,8,14,0.6363636363636364,0.6319138521781693,0.018276762402088774,0.03553299492385787,0.0819672131147541,0.40212699684065323,0.6341348412133284
1263,780,12,10,0.45454545454545453,0.618208516886931,0.012658227848101266,0.02463054187192118,0.05694760820045558,0.28100387131224136,0.5300979827468139
1345,698,10,12,0.5454545454545454,0.6583455702398434,0.016901408450704224,0.03278688524590164,0.07518796992481203,0.35909758376718726,0.5992475146107719
1060,983,10,12,0.5454545454545454,0.5188448360254527,0.012060301507537688,0.02359882005899705,0.055401662049861494,0.2830062741957015,0.531983340148638
1367,676,12,10,0.45454545454545453,0.6691140479686735,0.014577259475218658,0.028248587570621465,0.06459948320413436,0.3041427490766697,0.5514913862216433
1415,628,10,12,0.5454545454545454,0.6926089084679393,0.01875,0.036253776435045314,0.08241758241758242,0.37778667734614874,0.6146435368131261
1173,870,13,9,0.4090909090909091,0.5741556534508077,0.010238907849829351,0.01997780244173141,0.046535677352637014,0.23488185822987587,0.4846461164910701
940,1103,14,8,0.36363636363636365,0.4601076847772883,0.0072007200720072,0.014121800529567519,0.03336113427856547,0.1673118853735594,0.40903775543775833
1100,943,13,9,0.4090909090909091,0.5384238864415076,0.009453781512605041,0.01848049281314168,0.043269230769230775,0.22026431718061676,0.4693232544639321
1308,735,12,10,0.45454545454545453,0.6402349486049926,0.013422818791946308,0.02607561929595828,0.06002400960384154,0.2910158857295422,0.5394588823344576
1346,697,12,10,0.45454545454545453,0.6588350465002447,0.014144271570014143,0.027434842249657063,0.06289308176100629,0.2994704756819294,0.5472389566559835
853,1190,11,11,0.5,0.41752325012236907,0.009159034138218152,0.017988552739165987,0.042668735453840194,0.20876162506118454,0.4569043937862543
932,1111,11,11,0.5,0.45619187469407735,0.00980392156862745,0.019230769230769232,0.045454545454545456,0.2280959373470387,0.47759390421888626
1015,1028,13,9,0.4090909090909091,0.4968184043073911,0.008678881388621022,0.016997167138810197,0.039999999999999994,0.20324389267120546,0.45082578971394865
1191,852,10,12,0.5454545454545454,0.5829662261380323,0.013888888888888888,0.027088036117381493,0.06302521008403361,0.31798157789347214,0.5638985528386042
1407,636,13,9,0.4090909090909091,0.6886930983847284,0.013953488372093023,0.026986506746626688,0.061391541609822645,0.2817380857028435,0.5307900580293903
889,1154,10,12,0.5454545454545454,0.4351443954968184,0.010291595197255575,0.020202020202020204,0.04784688995215311,0.23735148845281,0.4871873237809149
1353,690,9,13,0.5909090909090909,0.6622613803230544,0.01849217638691323,0.03586206896551724,0.08217446270543616,0.39133627019089573,0.6255687573647646
1409,634,12,10,0.45454545454545453,0.6896720509055311,0.015527950310559006,0.03003003003003003,0.06830601092896176,0.3134872958661505,0.5598993622662474
996,1047,9,13,0.5909090909090909,0.48751835535976507,0.012264150943396227,0.024029574861367836,0.05662020905923345,0.28807902816713393,0.5367299396969895
1271,772,12,10,0.45454545454545453,0.622124326970142,0.01278772378516624,0.024875621890547265,0.05747126436781609,0.28278378498642814,0.5317741860850601
1499,544,12,10,0.45454545454545453,0.7337249143416544,0.018050541516245487,0.03472222222222222,0.07788161993769471,0.33351132470075195,0.5775043936635911
1257,786,13,9,0.4090909090909091,0.6152716593245228,0.011320754716981131,0.022031823745410038,0.05096262740656851,0.25170204245094113,0.5016991553221324
1452,591,13,9,0.4090909090909091,0.71071953010279,0.015,0.028938906752411574,0.06540697674418604,0.29074889867841414,0.5392113673490333
1123,920,12,10,0.45454545454545453,0.5496818404307391,0.010752688172043012,0.02100840336134454,0.049115913555992145,0.2498553820139723,0.49985536109355905
1545,498,16,6,0.2727272727272727,0.7562408223201175,0.011904761904761904,0.022813688212927757,0.05067567567567567,0.20624749699639566,0.45414479738999064
1271,772,12,10,0.45454545454545453,0.622124326970142,0.01278772378516624,0.024875621890547265,0.05747126436781609,0.28278378498642814,0.5317741860850601
928,1115,8,14,0.6363636363636364,0.45423396965247187,0.012400354295837024,0.024326672458731543,0.05751848808545604,0.28905798068793664,0.5376411262988878
1382,661,12,10,0.45454545454545453,0.6764561918746941,0.014903129657228018,0.02886002886002886,0.06587615283267456,0.3074800872157701,0.5545088702769055
1266,777,6,16,0.7272727272727273,0.6196769456681351,0.0201765447667087,0.03926380368098159,0.09080590238365494,0.45067414230409825,0.6713226812078512
1094,949,14,8,0.36363636363636365,0.5354870288790994,0.008359456635318705,0.01634320735444331,0.03827751196172249,0.19472255595603616,0.4412737879775278
1324,719,11,11,0.5,0.6480665687714146,0.015068493150684932,0.02925531914893617,0.06723716381418093,0.3240332843857074,0.5692392154320601
1380,663,16,6,0.2727272727272727,0.6754772393538914,0.008968609865470852,0.01736613603473227,0.03963011889035667,0.18422106527833396,0.42920981498369065
1082,961,16,6,0.2727272727272727,0.5296133137542829,0.0062047569803516025,0.012133468149646106,0.02843601895734597,0.14443999466025897,0.38005262090960373
1461,582,19,3,0.13636363636363635,0.7151248164464024,0.005128205128205128,0.009884678747940691,0.02228826151560178,0.09751702042450941,0.3122771532221168
910,1133,10,12,0.5454545454545454,0.4454233969652472,0.010480349344978166,0.02056555269922879,0.04866180048661801,0.24295821652649846,0.4929079189123446
1211,832,13,9,0.4090909090909091,0.5927557513460597,0.01070154577883472,0.02085747392815759,0.04843918191603875,0.24249098918702444,0.4924337409104137
1168,875,15,7,0.3181818181818182,0.5717082721488008,0.007936507936507936,0.015486725663716812,0.03608247422680412,0.1819071775018912,0.4265057766336714
885,1158,10,12,0.5454545454545454,0.4331864904552129,0.010256410256410256,0.020134228187919465,0.04769475357710652,0.23628354024829795,0.4860900536405759
1318,725,13,9,0.4090909090909091,0.6451297112090064,0.01226158038147139,0.023809523809523808,0.05474452554744526,0.2639167000400481,0.5137282355876968
1167,876,13,9,0.4090909090909091,0.5712187958883994,0.010169491525423728,0.019845644983461964,0.046248715313463515,0.23368041649979976,0.48340502324634543
1243,800,12,10,0.45454545454545453,0.6084189916789036,0.012345679012345678,0.024038461538461536,0.055679287305122484,0.27655408712677426,0.5258841004696513
1240,803,9,13,0.5909090909090909,0.6069505628976994,0.015931372549019607,0.031026252983293555,0.07190265486725662,0.35865260534864063,0.5988761185325732
1014,1029,6,16,0.7272727272727273,0.49632892804698975,0.015311004784688996,0.029990627928772263,0.0706090026478376,0.3609664931250835,0.6008048710896771
919,1124,9,13,0.5909090909090909,0.4498286833088595,0.011433597185576077,0.02243313201035375,0.05306122448979592,0.26580785831887155,0.5155655713087052
1140,903,12,10,0.45454545454545453,0.5580029368575624,0.01095290251916758,0.0213903743315508,0.049950049950049945,0.2536376985716192,0.5036245611282468
1004,1039,8,14,0.6363636363636364,0.491434165442976,0.013295346628679962,0.026046511627906978,0.06134969325153374,0.3127308325546211,0.559223419175754
1459,584,13,9,0.4090909090909091,0.7141458639255996,0.01517706576728499,0.029268292682926828,0.06607929515418502,0.29215058069683614,0.5405095565268353
894,1149,11,11,0.5,0.43759177679882527,0.009482758620689655,0.018612521150592216,0.044070512820512824,0.2187958883994126,0.46775622753675083
