tn,fp,fn,tp,sensitivity,specificity,precision,f1score,f2score,gmean_mba,gmean
233,189,29,53,0.6463414634146342,0.5521327014218009,0.2190082644628099,0.3271604938271605,0.4649122807017544,0.3568662582360421,0.5973828405939043
264,158,31,51,0.6219512195121951,0.6255924170616114,0.24401913875598086,0.3505154639175258,0.4748603351955308,0.389087966709051,0.6237691613963061
261,161,31,51,0.6219512195121951,0.6184834123222749,0.24056603773584906,0.34693877551020413,0.47222222222222215,0.3846665125419026,0.6202148922284135
266,156,31,51,0.6219512195121951,0.6303317535545023,0.2463768115942029,0.35294117647058826,0.47663551401869164,0.3920356028204832,0.6261274653139592
242,180,29,53,0.6463414634146342,0.5734597156398105,0.22746781115879827,0.3365079365079365,0.47237076648841353,0.37065079181597504,0.608810965584536
220,202,22,60,0.7317073170731707,0.5213270142180095,0.22900763358778625,0.3488372093023256,0.5084745762711864,0.38145879089122653,0.6176235025411732
247,175,31,51,0.6219512195121951,0.5853080568720379,0.22566371681415928,0.3311688311688311,0.46028880866425986,0.3640330597618773,0.6033515225487355
258,164,31,51,0.6219512195121951,0.6113744075829384,0.2372093023255814,0.3434343434343435,0.46961325966850836,0.3802450583747543,0.6166401368502981
224,198,22,60,0.7317073170731707,0.5308056872037915,0.23255813953488372,0.35294117647058826,0.5119453924914675,0.388394405271067,0.6232129694342593
252,170,31,51,0.6219512195121951,0.5971563981042654,0.23076923076923078,0.33663366336633666,0.4644808743169399,0.37140215004045773,0.6094277233933961
258,164,31,51,0.6219512195121951,0.6113744075829384,0.2372093023255814,0.3434343434343435,0.46961325966850836,0.3802450583747543,0.6166401368502981
243,179,29,53,0.6463414634146342,0.5758293838862559,0.22844827586206898,0.33757961783439494,0.47321428571428575,0.37218240665818975,0.6100675427017813
262,160,31,51,0.6219512195121951,0.6208530805687204,0.24170616113744076,0.3481228668941979,0.47309833024118736,0.38614033059761865,0.6214019074621663
246,176,31,51,0.6219512195121951,0.5829383886255924,0.22466960352422907,0.3300970873786408,0.4594594594594595,0.36255924170616116,0.6021289244889014
255,167,31,51,0.6219512195121951,0.6042654028436019,0.23394495412844038,0.33999999999999997,0.46703296703296704,0.375823604207606,0.6130445368874973
244,178,29,53,0.6463414634146342,0.5781990521327014,0.22943722943722944,0.33865814696485624,0.47406082289803225,0.37371402150040456,0.6113215369185062
255,167,31,51,0.6219512195121951,0.6042654028436019,0.23394495412844038,0.33999999999999997,0.46703296703296704,0.375823604207606,0.6130445368874973
265,157,31,51,0.6219512195121951,0.6279620853080569,0.24519230769230768,0.35172413793103446,0.4757462686567164,0.39056178476476705,0.6249494257656111
243,179,31,51,0.6219512195121951,0.5758293838862559,0.2217391304347826,0.3269230769230769,0.456989247311828,0.3581377875390128,0.5984461442260388
254,168,31,51,0.6219512195121951,0.6018957345971564,0.2328767123287671,0.33887043189368776,0.4661791590493602,0.3743497861518899,0.611841307980991
