tn,fp,fn,tp,sensitivity,specificity,precision,f1score,f2score,gmean_mba,gmean
806,1237,14,8,0.36363636363636365,0.3945178658835046,0.00642570281124498,0.012628255722178374,0.030007501875468873,0.14346104213945624,0.37876251416878126
854,1189,9,13,0.5909090909090909,0.4180127263827704,0.010815307820299502,0.021241830065359478,0.05038759689922482,0.2470075201352735,0.4969985112002585
609,1434,11,11,0.5,0.29809104258443464,0.007612456747404845,0.014996591683708248,0.03587736464448793,0.14904552129221735,0.3860641414224032
727,1316,9,13,0.5909090909090909,0.3558492413117964,0.009781790820165538,0.019245003700962254,0.045871559633027525,0.21027455168424333,0.4585570320955108
1386,657,10,12,0.5454545454545454,0.6784140969162996,0.017937219730941704,0.03473227206946454,0.07926023778071334,0.37004405286343606,0.6083124631827266
796,1247,9,13,0.5909090909090909,0.38962310327949096,0.010317460317460317,0.0202808112324493,0.04821958456973294,0.23023183375606282,0.47982479485335355
670,1373,9,13,0.5909090909090909,0.32794909446891823,0.00937950937950938,0.018465909090909092,0.044097693351424695,0.19378810127708804,0.4402136995563496
1448,595,11,11,0.5,0.7087616250611846,0.018151815181518153,0.03503184713375796,0.0792507204610951,0.3543808125305923,0.5952989270363187
1665,378,17,5,0.22727272727272727,0.8149779735682819,0.013054830287206266,0.024691358024691357,0.053078556263269634,0.1852222667200641,0.43037456560543175
1735,308,13,9,0.4090909090909091,0.8492413117963779,0.028391167192429023,0.05309734513274336,0.11111111111111112,0.34741690028033645,0.5894208176509687
809,1234,13,9,0.4090909090909091,0.39598629466470875,0.007240547063555913,0.014229249011857709,0.033809166040571,0.16199439327192633,0.4024852708757506
994,1049,5,17,0.7727272727272727,0.4865394028389623,0.01594746716697936,0.031249999999999997,0.07365684575389948,0.3759622658301073,0.6131576190753135
462,1581,9,13,0.5909090909090909,0.2261380323054332,0.008155583437892095,0.01608910891089109,0.038644470868014265,0.13362701908957417,0.3655502962515202
461,1582,8,14,0.6363636363636364,0.2256485560450318,0.008771929824561403,0.0173053152039555,0.04156769596199525,0.14359453566502028,0.3789386964470906
1139,904,17,5,0.22727272727272727,0.557513460597161,0.005500550055005501,0.010741138560687435,0.025075225677031094,0.12670760468117293,0.3559601167001339
1260,783,16,6,0.2727272727272727,0.6167400881057269,0.0076045627376425855,0.014796547472256474,0.03420752565564424,0.16820184221065276,0.4101241790124703
1573,470,18,4,0.18181818181818182,0.7699461576113559,0.008438818565400843,0.016129032258064516,0.03558718861209964,0.13999021047479196,0.3741526566453751
678,1365,5,17,0.7727272727272727,0.33186490455212925,0.012301013024602027,0.02421652421652422,0.05782312925170069,0.25644106260846344,0.5064001013116639
1407,636,13,9,0.4090909090909091,0.6886930983847284,0.013953488372093023,0.026986506746626688,0.061391541609822645,0.2817380857028435,0.5307900580293903
895,1148,12,10,0.45454545454545453,0.4380812530592266,0.008635578583765112,0.01694915254237288,0.04012841091492777,0.1991278422996485,0.44623742816985723
1392,651,9,13,0.5909090909090909,0.6813509544787077,0.01957831325301205,0.037900874635568516,0.08643617021276596,0.4026164731010545,0.634520664045746
1402,641,11,11,0.5,0.6862457170827215,0.01687116564417178,0.03264094955489614,0.07432432432432431,0.3431228585413607,0.5857668977855959
428,1615,7,15,0.6818181818181818,0.2094958394517866,0.009202453987730062,0.018159806295399518,0.043655413271245634,0.14283807235349083,0.37793924426221054
308,1735,5,17,0.7727272727272727,0.15075868820362212,0.009703196347031963,0.019165727170236752,0.04619565217391305,0.11649534997552617,0.34131415144339705
350,1693,7,15,0.6818181818181818,0.17131669114047968,0.008782201405152224,0.017341040462427747,0.041759465478841865,0.11680683486850886,0.34177014917705856
1556,487,14,8,0.36363636363636365,0.7616250611845325,0.01616161616161616,0.030947775628626693,0.0686106346483705,0.27695456770346644,0.526264731578572
1435,608,15,7,0.3181818181818182,0.7023984336759667,0.011382113821138212,0.02197802197802198,0.049786628733997154,0.2234904107150803,0.472747724177579
858,1185,9,13,0.5909090909090909,0.4199706314243759,0.010851419031719533,0.021311475409836068,0.05054432348367029,0.24816446402349485,0.4981610824055758
771,1272,9,13,0.5909090909090909,0.37738619676945667,0.010116731517509728,0.0198928844682479,0.04734158776402039,0.22300093445467892,0.47222974753257435
528,1515,10,12,0.5454545454545454,0.25844346549192365,0.007858546168958742,0.01549386701097482,0.037151702786377715,0.14096916299559473,0.3754586035711457
962,1081,11,11,0.5,0.47087616250611847,0.010073260073260074,0.01974865350089767,0.046610169491525424,0.2354380812530592,0.4852196216694655
732,1311,9,13,0.5909090909090909,0.35829662261380324,0.009818731117824773,0.019316493313521546,0.04603399433427762,0.21172073154452006,0.4601312112262328
383,1660,7,15,0.6818181818181818,0.18746940773372492,0.008955223880597015,0.01767825574543312,0.04254112308564946,0.1278200507275397,0.35751930119580916
672,1371,6,16,0.7272727272727273,0.328928046989721,0.011535688536409516,0.0227111426543648,0.05423728813559322,0.23922039781070623,0.489101623193694
1228,815,12,10,0.45454545454545453,0.6010768477728831,0.012121212121212121,0.023612750885478158,0.054764512595837894,0.2732167489876742,0.5227013956243796
1043,1000,13,9,0.4090909090909091,0.5105237395986295,0.008919722497522299,0.01745877788554801,0.04102096627164995,0.2088506207448939,0.4570017732404262
1480,563,17,5,0.22727272727272727,0.7244248653940284,0.008802816901408451,0.01694915254237288,0.03810975609756098,0.1646420148622792,0.405761031719754
1204,839,12,10,0.45454545454545453,0.5893294175232501,0.011778563015312132,0.022962112514351322,0.05336179295624334,0.26787700796511366,0.517568360668534
1181,862,9,13,0.5909090909090909,0.5780714635340186,0.014857142857142857,0.02898550724637681,0.06749740394600208,0.34158768299737463,0.5844550307742886
1610,433,15,7,0.3181818181818182,0.7880567792462065,0.015909090909090907,0.0303030303030303,0.06628787878787877,0.2507453388510657,0.5007447841476391
901,1142,12,10,0.45454545454545453,0.4410181106216349,0.008680555555555556,0.017035775127768313,0.04032258064516129,0.20046277755528855,0.44773069757979356
836,1207,9,13,0.5909090909090909,0.40920215369554575,0.010655737704918032,0.020933977455716585,0.049694189602446474,0.24180127263827703,0.491732928161494
610,1433,10,12,0.5454545454545454,0.29858051884483605,0.008304498269896194,0.016359918200408996,0.0391389432485323,0.16286210118809238,0.40356176873942406
501,1542,10,12,0.5454545454545454,0.24522760646108663,0.007722007722007722,0.015228426395939089,0.03654080389768575,0.1337605126151382,0.3657328432273183
1543,500,14,8,0.36363636363636365,0.7552618697993148,0.015748031496062992,0.03018867924528302,0.06711409395973154,0.27464067992702357,0.5240617138534579
334,1709,5,17,0.7727272727272727,0.16348507097405776,0.009849362688296639,0.019450800915331808,0.046857772877618525,0.12632937302540825,0.35542843587058176
1647,396,18,4,0.18181818181818182,0.8061674008810573,0.01,0.01895734597156398,0.04098360655737705,0.14657589106928318,0.3828523097348156
1480,563,12,10,0.45454545454545453,0.7244248653940284,0.017452006980802792,0.033613445378151266,0.075642965204236,0.32928402972455834,0.5738327541405757
436,1607,9,13,0.5909090909090909,0.21341164953499756,0.008024691358024692,0.015834348355663826,0.038056206088992975,0.12610688381613494,0.3551153105909895
1725,318,12,10,0.45454545454545453,0.8443465491923642,0.03048780487804878,0.05714285714285714,0.12019230769230771,0.3837938859965292,0.6195110055491583
353,1690,7,15,0.6818181818181818,0.1727851199216838,0.008797653958944282,0.017371163867979156,0.04182933630786392,0.11780803631023895,0.34323175306232806
1422,621,15,7,0.3181818181818182,0.6960352422907489,0.011146496815286623,0.021538461538461538,0.04888268156424581,0.22146575891069278,0.47060148630310633
476,1567,7,15,0.6818181818181818,0.23299069995105237,0.009481668773704172,0.018703241895261846,0.044910179640718556,0.15885729542117208,0.3985690597891062
675,1368,7,15,0.6818181818181818,0.3303964757709251,0.010845986984815618,0.021352313167259784,0.05098572399728076,0.22527032438926717,0.4746265104155763
1662,381,17,5,0.22727272727272727,0.8135095447870778,0.012953367875647668,0.024509803921568627,0.05274261603375527,0.18488853290615404,0.4299866659632064
843,1200,10,12,0.5454545454545454,0.41262848751835535,0.009900990099009901,0.019448946515397084,0.04615384615384615,0.22507008410092105,0.4744155184022979
645,1398,8,14,0.6363636363636364,0.315712187958884,0.009915014164305949,0.019525801952580198,0.04666666666666666,0.20090775597383528,0.44822734853401713
698,1345,10,12,0.5454545454545454,0.34165442976015664,0.008843036109064112,0.01740391588107324,0.04152249134948097,0.18635696168735813,0.4316908172377056
372,1671,3,19,0.8636363636363636,0.18208516886930984,0.011242603550295858,0.02219626168224299,0.053430821147356575,0.15725537311440396,0.39655437598695586
675,1368,10,12,0.5454545454545454,0.3303964757709251,0.008695652173913044,0.017118402282453638,0.04087193460490463,0.18021625951141373,0.42451885648509624
267,1776,2,20,0.9090909090909091,0.13069016152716592,0.011135857461024499,0.022002200220022004,0.053078556263269634,0.11880923775196905,0.34468715925019466
1515,528,19,3,0.13636363636363635,0.7415565345080763,0.005649717514124294,0.0108499095840868,0.024232633279483034,0.10112134561473766,0.31799582641087865
488,1555,6,16,0.7272727272727273,0.2388644150758688,0.010184595798854232,0.020087884494664154,0.0482218203737191,0.1737195746006319,0.41679680253167956
1573,470,13,9,0.4090909090909091,0.7699461576113559,0.018789144050104383,0.03592814371257485,0.07936507936507936,0.314977973568282,0.5612289849680627
676,1367,9,13,0.5909090909090909,0.3308859520313265,0.009420289855072464,0.01854493580599144,0.04427792915531335,0.19552351710942018,0.4421804123990797
700,1343,8,14,0.6363636363636364,0.34263338228095935,0.010316875460574797,0.02030456852791878,0.048442906574394456,0.2180394250878832,0.46694691891893153
1108,935,9,13,0.5909090909090909,0.5423396965247186,0.013713080168776372,0.026804123711340208,0.06274131274131275,0.32047345703733376,0.5661037511245918
1530,513,17,5,0.22727272727272727,0.748898678414097,0.009652509652509652,0.018518518518518517,0.041254125412541254,0.17020424509411292,0.4125581717698886
656,1387,6,16,0.7272727272727273,0.3210964268232991,0.011404133998574484,0.022456140350877195,0.05365526492287056,0.23352467405330843,0.4832439074145772
677,1366,11,11,0.5,0.33137542829172784,0.007988380537400145,0.015725518227305217,0.03754266211604095,0.1656877141458639,0.40704755759722216
1200,843,12,10,0.45454545454545453,0.5873715124816447,0.011723329425556858,0.022857142857142857,0.053134962805526036,0.2669870511280203,0.5167078972959677
1544,499,13,9,0.4090909090909091,0.7557513460597161,0.017716535433070866,0.033962264150943396,0.07550335570469799,0.3091710052062475,0.5560314786109214
1411,632,12,10,0.45454545454545453,0.6906510034263338,0.01557632398753894,0.030120481927710843,0.0684931506849315,0.31393227428469717,0.5602965949251317
1484,559,10,12,0.5454545454545454,0.7263827704356338,0.021015761821366025,0.04047217537942665,0.09104704097116845,0.3962087838739821,0.6294511767198328
1574,469,12,10,0.45454545454545453,0.7704356338717572,0.020876826722338204,0.03992015968063872,0.08818342151675485,0.35019801539625334,0.5917753082008858
584,1459,7,15,0.6818181818181818,0.2858541360744004,0.0101763907734057,0.020053475935828877,0.04801536491677337,0.19490054732345483,0.4414754209731894
