tn,fp,fn,tp,sensitivity,specificity,precision,f1score,f2score,gmean_mba,gmean
1081,902,13,9,0.4090909090909091,0.5451336359051941,0.009879253567508232,0.019292604501607715,0.04504504504504504,0.22300921468848847,0.47223851461786603
576,1407,10,12,0.5454545454545454,0.29046898638426627,0.008456659619450317,0.016655100624566273,0.039814200398142,0.15843762893687247,0.39804224516610354
649,1334,12,10,0.45454545454545453,0.32728189611699443,0.00744047619047619,0.014641288433382136,0.034916201117318434,0.14876449823499746,0.38570001067539195
822,1161,8,14,0.6363636363636364,0.4145234493192133,0.011914893617021277,0.023391812865497078,0.05542359461599367,0.26378764956677214,0.5136026183410402
698,1285,6,16,0.7272727272727273,0.3519919314170449,0.012298232129131437,0.02418745275888133,0.05759539236861051,0.255994131939669,0.5059586267074305
1291,692,11,11,0.5,0.6510337871911246,0.015647226173541962,0.030344827586206893,0.06953223767383059,0.32551689359556235,0.5705408781109048
696,1287,9,13,0.5909090909090909,0.35098335854765506,0.01,0.019667170953101363,0.0468299711815562,0.20739925732361436,0.4554110860789561
1303,680,11,11,0.5,0.6570852244074634,0.015918958031837915,0.030855539971949505,0.0706033376123235,0.32854261220373177,0.5731863677755532
629,1354,7,15,0.6818181818181818,0.3171961674230963,0.01095690284879474,0.021567217828900073,0.05147563486616334,0.21627011415211111,0.465048507310916
1507,476,15,7,0.3181818181818182,0.7599596570852244,0.014492753623188406,0.027722772277227723,0.06129597197898424,0.2418053454362077,0.49173706941434436
581,1402,9,13,0.5909090909090909,0.2929904185577408,0.009187279151943463,0.01809324982602644,0.04324683965402529,0.17313070187502863,0.4160897762202631
904,1079,13,9,0.4090909090909091,0.4558749369641957,0.008272058823529412,0.016216216216216214,0.03826530612244898,0.1864942923944437,0.43184984936253445
849,1134,13,9,0.4090909090909091,0.4281391830559758,0.007874015748031496,0.015450643776824036,0.036555645816409424,0.17514784761380828,0.4185066876572085
1207,776,15,7,0.3181818181818182,0.6086737266767523,0.008939974457215836,0.017391304347826087,0.040183696900114814,0.19366891303351208,0.4400783032978473
433,1550,11,11,0.5,0.2183560262228946,0.007046764894298526,0.013897662665824383,0.03335354760460885,0.10917801311144727,0.3304209634866518
1502,481,15,7,0.3181818181818182,0.7574382249117498,0.014344262295081968,0.027450980392156862,0.06076388888888889,0.24100307156282946,0.4909206367253565
1262,721,11,11,0.5,0.6364094805849723,0.015027322404371584,0.029177718832891247,0.06707317073170732,0.3182047402924862,0.5640963927313187
1224,759,11,11,0.5,0.6172465960665658,0.014285714285714285,0.02777777777777778,0.0641025641025641,0.3086232980332829,0.5555387457534199
1190,793,13,9,0.4090909090909091,0.600100857286939,0.011221945137157107,0.021844660194174758,0.050561797752808994,0.24549580525374778,0.49547533263902027
662,1321,6,16,0.7272727272727273,0.3338376197680282,0.011967090501121914,0.0235467255334805,0.056140350877192984,0.2427909961949296,0.49273826337613524
1538,445,16,6,0.2727272727272727,0.7755925365607665,0.013303769401330377,0.02536997885835095,0.05565862708719851,0.2115252372438454,0.4599187289552855
961,1022,12,10,0.45454545454545453,0.48461926374180536,0.009689922480620155,0.018975332068311195,0.044642857142857144,0.22028148351900248,0.46934154250290105
1650,333,17,5,0.22727272727272727,0.8320726172465961,0.014792899408284023,0.027777777777777776,0.058685446009389665,0.18910741301059,0.43486482153721057
1411,572,12,10,0.45454545454545453,0.7115481593545133,0.01718213058419244,0.033112582781456956,0.07462686567164178,0.3234309815247788,0.5687099274012885
1259,724,14,8,0.36363636363636365,0.6348966212808875,0.01092896174863388,0.021220159151193633,0.04878048780487805,0.23087149864759546,0.4804908934075603
315,1668,5,17,0.7727272727272727,0.1588502269288956,0.010089020771513354,0.019917984768599885,0.04794134235758602,0.12274790262687389,0.35035396761971155
1370,613,9,13,0.5909090909090909,0.6908724155320222,0.020766773162939296,0.040123456790123455,0.09103641456582633,0.408242790996195,0.6389388006657563
1523,460,15,7,0.3181818181818182,0.7680282400403429,0.014989293361884369,0.02862985685071575,0.06306306306306306,0.24437262183101816,0.4943405929427788
1441,542,11,11,0.5,0.7266767523953606,0.019891500904159132,0.03826086956521739,0.08580343213728549,0.36333837619768034,0.6027755603851904
1488,495,14,8,0.36363636363636365,0.7503782148260212,0.015904572564612324,0.030476190476190473,0.0676818950930626,0.2728648053912805,0.5223646287712066
1549,434,12,10,0.45454545454545453,0.7811396873424105,0.02252252252252252,0.04291845493562232,0.09398496240601502,0.35506349424655026,0.5958720451964081
459,1524,7,15,0.6818181818181818,0.2314674735249622,0.009746588693957114,0.019218449711723255,0.04609711124769514,0.15781873194883783,0.3972640582142284
964,1019,16,6,0.2727272727272727,0.48613212304589004,0.005853658536585366,0.011461318051575931,0.02695417789757412,0.13258148810342452,0.3641174097779788
449,1534,9,13,0.5909090909090909,0.2264246091780131,0.008403361344537815,0.0165710643722116,0.039755351681957186,0.13379635996882588,0.36578184751136283
1379,604,17,5,0.22727272727272727,0.6954109934442764,0.008210180623973728,0.01584786053882726,0.03586800573888092,0.15804795305551733,0.39755245321280225
475,1508,11,11,0.5,0.2395360564800807,0.007241606319947334,0.01427644386761843,0.0342252644679527,0.11976802824004036,0.34607517715091957
1373,610,11,11,0.5,0.6923852748361069,0.017713365539452495,0.03421461897356143,0.077574047954866,0.3461926374180534,0.5883813707265496
774,1209,8,14,0.6363636363636364,0.3903177004538578,0.011447260834014717,0.022489959839357428,0.05339435545385202,0.24838399119790947,0.498381371238843
448,1535,9,13,0.5909090909090909,0.2259203227433182,0.008397932816537468,0.01656050955414013,0.03973105134474327,0.1334983725301426,0.36537429100874436
724,1259,15,7,0.3181818181818182,0.36510337871911247,0.005529225908372828,0.010869565217391304,0.0258493353028065,0.11616925686517213,0.3408361143792895
1170,813,12,10,0.45454545454545453,0.5900151285930408,0.012150668286755772,0.023668639053254437,0.054884742041712405,0.2681886948150186,0.5178693800709003
616,1367,9,13,0.5909090909090909,0.3106404437720625,0.009420289855072464,0.01854493580599144,0.04427792915531335,0.18356026222894606,0.4284393331954316
533,1450,6,16,0.7272727272727273,0.2687846696923853,0.010914051841746248,0.02150537634408602,0.05148005148005149,0.1954797597762802,0.44213093058084074
663,1320,12,10,0.45454545454545453,0.33434190620272314,0.007518796992481203,0.014792899408284021,0.03526093088857545,0.15197359372851055,0.3898379069927789
577,1406,11,11,0.5,0.2909732728189612,0.0077628793225123505,0.015288394718554551,0.036544850498338874,0.14548663640948062,0.38142710497483084
1565,418,14,8,0.36363636363636365,0.789208270297529,0.018779342723004695,0.03571428571428571,0.07782101167315175,0.28698482556273786,0.5357096466956124
692,1291,8,14,0.6363636363636364,0.34896621280887546,0.010727969348659003,0.02110022607385079,0.05025125628140704,0.22206940815110254,0.4712424091177518
1321,662,13,9,0.4090909090909091,0.6661623802319717,0.013412816691505217,0.025974025974025972,0.05928853754940711,0.27252097373126116,0.5220354142500881
265,1718,7,15,0.6818181818181818,0.13363590519415028,0.008655510675129832,0.017094017094017096,0.04118616144975288,0.09111538990510241,0.3018532588942886
1127,856,9,13,0.5909090909090909,0.5683308119011599,0.014959723820483314,0.029180695847362517,0.06792058516196448,0.3358318433961399,0.5795100028439025
482,1501,10,12,0.5454545454545454,0.24306606152294502,0.007931262392597489,0.015635179153094463,0.03747657713928795,0.13258148810342452,0.3641174097779788
1310,673,11,11,0.5,0.6606152294503278,0.01608187134502924,0.031161473087818695,0.07124352331606217,0.33030761472516396,0.5747239465388265
1209,774,15,7,0.3181818181818182,0.6096822995461422,0.008962868117797696,0.017434620174346206,0.04027617951668584,0.1939898225828634,0.4404427574417173
937,1046,13,9,0.4090909090909091,0.4725163893091276,0.008530805687203791,0.016713091922005572,0.03937007874015748,0.19330215926282496,0.4396614143438391
823,1160,6,16,0.7272727272727273,0.4150277357539082,0.013605442176870748,0.02671118530884808,0.06329113924050632,0.30183835327556957,0.5493981737097144
1011,972,9,13,0.5909090909090909,0.5098335854765507,0.013197969543147208,0.025819265143992055,0.06057781919850886,0.3012653005088709,0.5488763982071655
1383,600,13,9,0.4090909090909091,0.697428139183056,0.014778325123152709,0.028526148969889063,0.06456241032998565,0.2853115114839775,0.53414559015682
555,1428,7,15,0.6818181818181818,0.27987897125567324,0.010395010395010396,0.020477815699658702,0.04898758981058132,0.1908265713106863,0.43683700771647804
461,1522,8,14,0.6363636363636364,0.232476046394352,0.009114583333333334,0.01797175866495507,0.04310344827586207,0.14793930225095125,0.3846287850004875
496,1487,9,13,0.5909090909090909,0.25012607160867373,0.008666666666666666,0.017082785808147174,0.040931989924433254,0.14780176958694358,0.38444995719461794
906,1077,15,7,0.3181818181818182,0.4568835098335855,0.006457564575645757,0.012658227848101266,0.029863481228668942,0.1453720258561408,0.3812768362438778
1210,773,11,11,0.5,0.6101865859808371,0.01403061224489796,0.027295285359801486,0.06307339449541284,0.30509329299041854,0.5523525079063356
1628,355,18,4,0.18181818181818182,0.8209783156833081,0.011142061281337047,0.02099737532808399,0.04474272930648769,0.1492687846696924,0.3863531864365718
562,1421,11,11,0.5,0.28340897629853756,0.007681564245810056,0.015130674002751032,0.036184210526315784,0.14170448814926884,0.3764365659035647
1160,823,13,9,0.4090909090909091,0.5849722642460918,0.010817307692307692,0.02107728337236534,0.04891304347826087,0.23930683537340122,0.4891899788153895
590,1393,7,15,0.6818181818181818,0.297528996469995,0.01065340909090909,0.02097902097902098,0.050133689839572185,0.20286067941136024,0.4504005766108212
543,1440,11,11,0.5,0.27382753403933435,0.007580978635423846,0.01493550577053632,0.03573749187784276,0.1369137670196672,0.3700186036129362
1397,586,17,5,0.22727272727272727,0.7044881492687847,0.008460236886632826,0.01631321370309951,0.036818851251840944,0.16011094301563283,0.40013865473812055
766,1217,8,14,0.6363636363636364,0.38628340897629854,0.011372867587327376,0.0223463687150838,0.053070507960576184,0.24581671480309905,0.49579906696473225
1581,402,13,9,0.4090909090909091,0.7972768532526475,0.021897810218978103,0.04157043879907621,0.09018036072144289,0.3261587126942649,0.5711030666125554
1319,664,13,9,0.4090909090909091,0.6651538073625819,0.01337295690936107,0.025899280575539564,0.05913272010512484,0.272108375739238,0.5216400825657841
480,1503,4,18,0.8181818181818182,0.24205748865355523,0.011834319526627219,0.02333117303953338,0.05593536357986327,0.19804703617109068,0.4450247590540224
864,1119,10,12,0.5454545454545454,0.4357034795763994,0.010610079575596816,0.020815264527320035,0.04922067268252666,0.23765644340530873,0.48750019836437886
850,1133,14,8,0.36363636363636365,0.4286434694906707,0.007011393514460999,0.013757523645743768,0.03254678600488202,0.1558703525420621,0.39480419519308824
1410,573,10,12,0.5454545454545454,0.7110438729198184,0.020512820512820513,0.039538714991762765,0.08915304606240712,0.3878421125017191,0.6227697106489036
414,1569,4,18,0.8181818181818182,0.2087745839636914,0.011342155009451797,0.02237414543194531,0.05373134328358209,0.17081556869756573,0.4132984015182804
869,1114,9,13,0.5909090909090909,0.43822491174987394,0.011535048802129548,0.022628372497824196,0.05349794238683128,0.2589510842158347,0.5088723653489494
1393,590,11,11,0.5,0.702471003530005,0.018302828618968387,0.03531300160513644,0.07982583454281567,0.35123550176500257,0.592651248007631
777,1206,12,10,0.45454545454545453,0.3918305597579425,0.008223684210526315,0.016155088852988688,0.03834355828220858,0.17810479988997385,0.4220246436998364
633,1350,6,16,0.7272727272727273,0.31921331316187596,0.01171303074670571,0.023054755043227664,0.055020632737276476,0.23215513684500072,0.48182479891035157
1292,691,10,12,0.5454545454545454,0.6515380736258195,0.017069701280227598,0.03310344827586207,0.07585335018963338,0.3553844037959016,0.5961412616116264
406,1577,6,16,0.7272727272727273,0.20474029248613212,0.010043942247332079,0.019814241486068113,0.047590719809637125,0.1489020308990052,0.3858782591686207
1392,591,13,9,0.4090909090909091,0.7019667170953101,0.015,0.028938906752411574,0.06540697674418604,0.28716820244808144,0.5358807726053263
1025,958,8,14,0.6363636363636364,0.5168935955622794,0.01440329218106996,0.028169014084507043,0.0660377358490566,0.32893228808508695,0.5735261877936237
1385,598,13,9,0.4090909090909091,0.6984367120524458,0.014827018121911038,0.02861685214626391,0.06474820143884892,0.28572410947600063,0.5345316730335076
448,1535,11,11,0.5,0.2259203227433182,0.0071151358344113845,0.014030612244897961,0.033659730722154224,0.11296016137165908,0.33609546466987483
771,1212,14,8,0.36363636363636365,0.3888048411497731,0.006557377049180328,0.01288244766505636,0.030581039755351685,0.14138357859991751,0.37601007779036655
504,1479,9,13,0.5909090909090909,0.25416036308623297,0.00871313672922252,0.017173051519154558,0.04113924050632912,0.1501856690964104,0.38753795826526516
494,1489,8,14,0.6363636363636364,0.2491174987392839,0.009314703925482368,0.018360655737704918,0.04399748585795097,0.15852931737954432,0.39815740276873457
792,1191,6,16,0.7272727272727273,0.39939485627836613,0.013256006628003313,0.026037428803905614,0.06177606177606178,0.2904689863842662,0.5389517477328246
880,1103,7,15,0.6818181818181818,0.4437720625315179,0.013416815742397137,0.026315789473684206,0.06218905472636815,0.3025718608169441,0.5500653241360921
1391,592,15,7,0.3181818181818182,0.7014624306606152,0.011686143572621035,0.02254428341384863,0.05094614264919942,0.2231925915738321,0.47243263178344497
619,1364,9,13,0.5909090909090909,0.31215330307614725,0.00944081336238199,0.01858470335954253,0.044368600682593864,0.18445422454499613,0.42948134365184726
944,1039,14,8,0.36363636363636365,0.4760463943519919,0.007640878701050621,0.014967259120673527,0.035242290748898675,0.17310777976436068,0.4160622306390724
515,1468,7,15,0.6818181818181818,0.25970751386787694,0.010114632501685773,0.01993355481727575,0.04774029280712922,0.1770733049099161,0.42080079005381643
1508,475,15,7,0.3181818181818182,0.7604639435199193,0.014522821576763486,0.027777777777777776,0.06140350877192982,0.2419658002108834,0.49190019334300267
367,1616,5,17,0.7727272727272727,0.18507312153303077,0.010410287813839559,0.020543806646525678,0.0493898895990703,0.14301104845734192,0.3781680161744802
1161,822,15,7,0.3181818181818182,0.5854765506807866,0.008443908323281062,0.01645123384253819,0.03816793893129771,0.1862879933984321,0.43161092826576125
1243,740,14,8,0.36363636363636365,0.626828038325769,0.0106951871657754,0.02077922077922078,0.04784688995215311,0.22793746848209784,0.4774279720356756
594,1389,8,14,0.6363636363636364,0.29954614220877457,0.009978617248752673,0.019649122807017545,0.04694835680751174,0.1906202723146747,0.43660081575127035
