tn,fp,fn,tp,sensitivity,specificity,precision,f1score,f2score,gmean_mba,gmean
222,200,24,58,0.7073170731707317,0.5260663507109005,0.2248062015503876,0.34117647058823536,0.49488054607508525,0.3720957114784417,0.6099964848082665
217,205,24,58,0.7073170731707317,0.514218009478673,0.22053231939163498,0.336231884057971,0.49069373942470385,0.36371517743613446,0.603088034565547
216,206,24,58,0.7073170731707317,0.5118483412322274,0.2196969696969697,0.3352601156069364,0.48986486486486486,0.3620390706276732,0.6016968261738408
195,227,24,58,0.7073170731707317,0.46208530805687204,0.20350877192982456,0.3160762942779291,0.4730831973898858,0.3268408276499826,0.5716999454696341
215,207,24,58,0.7073170731707317,0.509478672985782,0.2188679245283019,0.33429394812680113,0.4890387858347386,0.3603629638192116,0.6003023936477445
216,206,24,58,0.7073170731707317,0.5118483412322274,0.2196969696969697,0.3352601156069364,0.48986486486486486,0.3620390706276732,0.6016968261738408
195,227,24,58,0.7073170731707317,0.46208530805687204,0.20350877192982456,0.3160762942779291,0.4730831973898858,0.3268408276499826,0.5716999454696341
217,205,24,58,0.7073170731707317,0.514218009478673,0.22053231939163498,0.336231884057971,0.49069373942470385,0.36371517743613446,0.603088034565547
226,196,24,58,0.7073170731707317,0.5355450236966824,0.2283464566929134,0.34523809523809523,0.49828178694158076,0.37880013871228757,0.6154674148257465
208,214,23,59,0.7195121951219512,0.4928909952606635,0.21611721611721613,0.33239436619718316,0.4908485856905158,0.35464108195584326,0.5955174908899346
212,210,24,58,0.7073170731707317,0.5023696682464455,0.21641791044776118,0.33142857142857146,0.48657718120805366,0.35533464339382737,0.5960995247388035
202,220,24,58,0.7073170731707317,0.4786729857819905,0.20863309352517986,0.32222222222222224,0.4785478547854785,0.3385735753092128,0.5818707548152019
206,216,24,58,0.7073170731707317,0.4881516587677725,0.2116788321167883,0.32584269662921345,0.48172757475083045,0.3452780025430586,0.5876036100493756
198,224,24,58,0.7073170731707317,0.46919431279620855,0.20567375886524822,0.31868131868131866,0.47540983606557374,0.331869148075367,0.5760808520297884
204,218,24,58,0.7073170731707317,0.4834123222748815,0.21014492753623187,0.3240223463687151,0.4801324503311258,0.3419257889261357,0.5847442081167933
221,201,23,59,0.7195121951219512,0.523696682464455,0.22692307692307692,0.34502923976608185,0.5017006802721088,0.37680614957808345,0.6138453792105008
212,210,24,58,0.7073170731707317,0.5023696682464455,0.21641791044776118,0.33142857142857146,0.48657718120805366,0.35533464339382737,0.5960995247388035
221,201,23,59,0.7195121951219512,0.523696682464455,0.22692307692307692,0.34502923976608185,0.5017006802721088,0.37680614957808345,0.6138453792105008
196,226,24,58,0.7073170731707317,0.46445497630331756,0.20422535211267606,0.31693989071038253,0.4738562091503267,0.3285169344584441,0.5731639682136728
204,218,24,58,0.7073170731707317,0.4834123222748815,0.21014492753623187,0.3240223463687151,0.4801324503311258,0.3419257889261357,0.5847442081167933
211,211,24,58,0.7073170731707317,0.5,0.21561338289962825,0.33048433048433046,0.4857621440536013,0.3536585365853658,0.5946919678164199
213,209,24,58,0.7073170731707317,0.504739336492891,0.21722846441947566,0.332378223495702,0.4873949579831932,0.3570107502022888,0.5975037658477884
223,199,24,58,0.7073170731707317,0.5284360189573459,0.22568093385214008,0.3421828908554573,0.4957264957264957,0.3737718182869032,0.6113688070934787
207,215,23,59,0.7195121951219512,0.490521327014218,0.21532846715328466,0.33146067415730335,0.49003322259136206,0.3529360767541325,0.5940842337195396
221,201,24,58,0.7073170731707317,0.523696682464455,0.22393822393822393,0.34017595307917886,0.4940374787052811,0.37041960466998036,0.6086210682107385
226,196,24,58,0.7073170731707317,0.5355450236966824,0.2283464566929134,0.34523809523809523,0.49828178694158076,0.37880013871228757,0.6154674148257465
208,214,24,58,0.7073170731707317,0.4928909952606635,0.21323529411764705,0.327683615819209,0.48333333333333334,0.3486302161599816,0.5904491647550885
212,210,24,58,0.7073170731707317,0.5023696682464455,0.21641791044776118,0.33142857142857146,0.48657718120805366,0.35533464339382737,0.5960995247388035
213,209,24,58,0.7073170731707317,0.504739336492891,0.21722846441947566,0.332378223495702,0.4873949579831932,0.3570107502022888,0.5975037658477884
218,204,24,58,0.7073170731707317,0.5165876777251185,0.22137404580152673,0.3372093023255814,0.4915254237288135,0.365391284244596,0.6044760410840085
206,216,24,58,0.7073170731707317,0.4881516587677725,0.2116788321167883,0.32584269662921345,0.48172757475083045,0.3452780025430586,0.5876036100493756
202,220,24,58,0.7073170731707317,0.4786729857819905,0.20863309352517986,0.32222222222222224,0.4785478547854785,0.3385735753092128,0.5818707548152019
202,220,24,58,0.7073170731707317,0.4786729857819905,0.20863309352517986,0.32222222222222224,0.4785478547854785,0.3385735753092128,0.5818707548152019
213,209,24,58,0.7073170731707317,0.504739336492891,0.21722846441947566,0.332378223495702,0.4873949579831932,0.3570107502022888,0.5975037658477884
221,201,23,59,0.7195121951219512,0.523696682464455,0.22692307692307692,0.34502923976608185,0.5017006802721088,0.37680614957808345,0.6138453792105008
215,207,24,58,0.7073170731707317,0.509478672985782,0.2188679245283019,0.33429394812680113,0.4890387858347386,0.3603629638192116,0.6003023936477445
185,237,23,59,0.7195121951219512,0.43838862559241704,0.19932432432432431,0.31216931216931215,0.47275641025641024,0.3154259623164951,0.5616279572069887
205,217,24,58,0.7073170731707317,0.48578199052132703,0.2109090909090909,0.32492997198879553,0.48092868988391374,0.3436018957345972,0.5861756526286274
223,199,24,58,0.7073170731707317,0.5284360189573459,0.22568093385214008,0.3421828908554573,0.4957264957264957,0.3737718182869032,0.6113688070934787
205,217,24,58,0.7073170731707317,0.48578199052132703,0.2109090909090909,0.32492997198879553,0.48092868988391374,0.3436018957345972,0.5861756526286274
213,209,24,58,0.7073170731707317,0.504739336492891,0.21722846441947566,0.332378223495702,0.4873949579831932,0.3570107502022888,0.5975037658477884
215,207,24,58,0.7073170731707317,0.509478672985782,0.2188679245283019,0.33429394812680113,0.4890387858347386,0.3603629638192116,0.6003023936477445
201,221,24,58,0.7073170731707317,0.476303317535545,0.2078853046594982,0.32132963988919666,0.4777594728171334,0.3368974685007513,0.5804286937262417
208,214,24,58,0.7073170731707317,0.4928909952606635,0.21323529411764705,0.327683615819209,0.48333333333333334,0.3486302161599816,0.5904491647550885
214,208,24,58,0.7073170731707317,0.5071090047393365,0.21804511278195488,0.33333333333333326,0.48821548821548827,0.35868685701075015,0.5989047144669594
206,216,24,58,0.7073170731707317,0.4881516587677725,0.2116788321167883,0.32584269662921345,0.48172757475083045,0.3452780025430586,0.5876036100493756
209,213,24,58,0.7073170731707317,0.495260663507109,0.2140221402214022,0.3286118980169972,0.4841402337228714,0.350306322968443,0.5918668118491212
208,214,24,58,0.7073170731707317,0.4928909952606635,0.21323529411764705,0.327683615819209,0.48333333333333334,0.3486302161599816,0.5904491647550885
190,232,24,58,0.7073170731707317,0.45023696682464454,0.2,0.3118279569892473,0.4692556634304207,0.3184602936076754,0.5643228629141969
205,217,24,58,0.7073170731707317,0.48578199052132703,0.2109090909090909,0.32492997198879553,0.48092868988391374,0.3436018957345972,0.5861756526286274
192,230,23,59,0.7195121951219512,0.4549763033175355,0.2041522491349481,0.31805929919137466,0.47811993517017826,0.3273609987284707,0.5721546982490581
203,219,24,58,0.7073170731707317,0.48104265402843605,0.20938628158844766,0.3231197771587744,0.4793388429752065,0.34024968211767426,0.5833092508418448
219,203,24,58,0.7073170731707317,0.518957345971564,0.2222222222222222,0.3381924198250729,0.4923599320882852,0.36706739105305747,0.6058608677353716
208,214,24,58,0.7073170731707317,0.4928909952606635,0.21323529411764705,0.327683615819209,0.48333333333333334,0.3486302161599816,0.5904491647550885
197,225,24,58,0.7073170731707317,0.466824644549763,0.2049469964664311,0.3178082191780822,0.47463175122749596,0.3301930412669055,0.5746242609452767
228,194,24,58,0.7073170731707317,0.5402843601895735,0.23015873015873015,0.3473053892215569,0.49999999999999994,0.3821523523292105,0.6181847234680024
208,214,23,59,0.7195121951219512,0.4928909952606635,0.21611721611721613,0.33239436619718316,0.4908485856905158,0.35464108195584326,0.5955174908899346
212,210,24,58,0.7073170731707317,0.5023696682464455,0.21641791044776118,0.33142857142857146,0.48657718120805366,0.35533464339382737,0.5960995247388035
205,217,24,58,0.7073170731707317,0.48578199052132703,0.2109090909090909,0.32492997198879553,0.48092868988391374,0.3436018957345972,0.5861756526286274
200,222,23,59,0.7195121951219512,0.47393364928909953,0.2099644128113879,0.325068870523416,0.48440065681444994,0.341001040342157,0.5839529436026134
217,205,24,58,0.7073170731707317,0.514218009478673,0.22053231939163498,0.336231884057971,0.49069373942470385,0.36371517743613446,0.603088034565547
206,216,24,58,0.7073170731707317,0.4881516587677725,0.2116788321167883,0.32584269662921345,0.48172757475083045,0.3452780025430586,0.5876036100493756
207,215,24,58,0.7073170731707317,0.490521327014218,0.21245421245421245,0.3267605633802817,0.4825291181364393,0.34695410935152,0.5890281057398874
207,215,24,58,0.7073170731707317,0.490521327014218,0.21245421245421245,0.3267605633802817,0.4825291181364393,0.34695410935152,0.5890281057398874
205,217,24,58,0.7073170731707317,0.48578199052132703,0.2109090909090909,0.32492997198879553,0.48092868988391374,0.3436018957345972,0.5861756526286274
218,204,24,58,0.7073170731707317,0.5165876777251185,0.22137404580152673,0.3372093023255814,0.4915254237288135,0.365391284244596,0.6044760410840085
188,234,24,58,0.7073170731707317,0.44549763033175355,0.19863013698630136,0.3101604278074866,0.467741935483871,0.3151080799907525,0.5613448850668834
224,198,24,58,0.7073170731707317,0.5308056872037915,0.2265625,0.3431952662721894,0.49657534246575347,0.3754479250953648,0.6127380558569582
206,216,24,58,0.7073170731707317,0.4881516587677725,0.2116788321167883,0.32584269662921345,0.48172757475083045,0.3452780025430586,0.5876036100493756
204,218,24,58,0.7073170731707317,0.4834123222748815,0.21014492753623187,0.3240223463687151,0.4801324503311258,0.3419257889261357,0.5847442081167933
213,209,24,58,0.7073170731707317,0.504739336492891,0.21722846441947566,0.332378223495702,0.4873949579831932,0.3570107502022888,0.5975037658477884
232,190,24,58,0.7073170731707317,0.5497630331753555,0.23387096774193547,0.3515151515151515,0.5034722222222222,0.38885677956305625,0.6235838191959893
212,210,24,58,0.7073170731707317,0.5023696682464455,0.21641791044776118,0.33142857142857146,0.48657718120805366,0.35533464339382737,0.5960995247388035
203,219,24,58,0.7073170731707317,0.48104265402843605,0.20938628158844766,0.3231197771587744,0.4793388429752065,0.34024968211767426,0.5833092508418448
223,199,24,58,0.7073170731707317,0.5284360189573459,0.22568093385214008,0.3421828908554573,0.4957264957264957,0.3737718182869032,0.6113688070934787
221,201,24,58,0.7073170731707317,0.523696682464455,0.22393822393822393,0.34017595307917886,0.4940374787052811,0.37041960466998036,0.6086210682107385
199,223,24,58,0.7073170731707317,0.471563981042654,0.20640569395017794,0.31955922865013775,0.47619047619047616,0.3335452548838284,0.5775337694748494
204,218,23,59,0.7195121951219512,0.4834123222748815,0.21299638989169675,0.32869080779944293,0.487603305785124,0.347821061149,0.5897635637685665
231,191,24,58,0.7073170731707317,0.54739336492891,0.23293172690763053,0.3504531722054381,0.5025996533795494,0.3871806727545949,0.6222384372204878
202,220,24,58,0.7073170731707317,0.4786729857819905,0.20863309352517986,0.32222222222222224,0.4785478547854785,0.3385735753092128,0.5818707548152019
199,223,24,58,0.7073170731707317,0.471563981042654,0.20640569395017794,0.31955922865013775,0.47619047619047616,0.3335452548838284,0.5775337694748494
225,197,24,58,0.7073170731707317,0.533175355450237,0.22745098039215686,0.34421364985163205,0.49742710120068606,0.3771240319038262,0.6141042516575066
204,218,24,58,0.7073170731707317,0.4834123222748815,0.21014492753623187,0.3240223463687151,0.4801324503311258,0.3419257889261357,0.5847442081167933
201,221,24,58,0.7073170731707317,0.476303317535545,0.2078853046594982,0.32132963988919666,0.4777594728171334,0.3368974685007513,0.5804286937262417
230,192,24,58,0.7073170731707317,0.5450236966824644,0.232,0.3493975903614458,0.5017301038062284,0.3855045659461333,0.6208901399975146
221,201,23,59,0.7195121951219512,0.523696682464455,0.22692307692307692,0.34502923976608185,0.5017006802721088,0.37680614957808345,0.6138453792105008
207,215,24,58,0.7073170731707317,0.490521327014218,0.21245421245421245,0.3267605633802817,0.4825291181364393,0.34695410935152,0.5890281057398874
199,223,24,58,0.7073170731707317,0.471563981042654,0.20640569395017794,0.31955922865013775,0.47619047619047616,0.3335452548838284,0.5775337694748494
210,212,24,58,0.7073170731707317,0.4976303317535545,0.21481481481481482,0.3295454545454546,0.48494983277591974,0.35198242977690436,0.5932810714803771
228,194,24,58,0.7073170731707317,0.5402843601895735,0.23015873015873015,0.3473053892215569,0.49999999999999994,0.3821523523292105,0.6181847234680024
213,209,23,59,0.7195121951219512,0.504739336492891,0.22014925373134328,0.33714285714285713,0.49496644295302017,0.3631661079643973,0.6026326476091362
221,201,24,58,0.7073170731707317,0.523696682464455,0.22393822393822393,0.34017595307917886,0.4940374787052811,0.37041960466998036,0.6086210682107385
213,209,24,58,0.7073170731707317,0.504739336492891,0.21722846441947566,0.332378223495702,0.4873949579831932,0.3570107502022888,0.5975037658477884
203,219,24,58,0.7073170731707317,0.48104265402843605,0.20938628158844766,0.3231197771587744,0.4793388429752065,0.34024968211767426,0.5833092508418448
194,228,24,58,0.7073170731707317,0.4597156398104265,0.20279720279720279,0.3152173913043478,0.4723127035830619,0.3251647208415212,0.5702321639836894
176,246,24,58,0.7073170731707317,0.41706161137440756,0.19078947368421054,0.3005181347150259,0.45886075949367083,0.294994798289215,0.5431342359759832
211,211,24,58,0.7073170731707317,0.5,0.21561338289962825,0.33048433048433046,0.4857621440536013,0.3536585365853658,0.5946919678164199
215,207,24,58,0.7073170731707317,0.509478672985782,0.2188679245283019,0.33429394812680113,0.4890387858347386,0.3603629638192116,0.6003023936477445
197,225,23,59,0.7195121951219512,0.466824644549763,0.20774647887323944,0.3224043715846994,0.4820261437908497,0.3358860247370246,0.5795567485044278
212,210,24,58,0.7073170731707317,0.5023696682464455,0.21641791044776118,0.33142857142857146,0.48657718120805366,0.35533464339382737,0.5960995247388035
